county_fips,year,outage_event_uid,duration_hours,severe_weather_flag,outage_mean_customers,outage_max_customers
36005,2018,2018_89425,0.25,0,340.0,340.0
36005,2018,2018_89426,9.25,0,837.4324324324324,1440.0
36005,2018,2018_89427,1.0,0,323.0,441.0
36005,2018,2018_89428,2.5,0,455.6,711.0
36005,2018,2018_89429,2.25,0,463.44444444444446,711.0
36005,2018,2018_89430,5.75,0,290.9130434782609,310.0
36005,2018,2018_89431,2.25,0,217.0,217.0
36005,2018,2018_89432,22.0,0,528.9090909090909,627.0
36005,2018,2018_89433,1.25,0,222.6,225.0
36005,2018,2018_89434,1.0,0,200.25,201.0
36005,2018,2018_89435,2.5,0,324.7,325.0
36005,2018,2018_89436,4.5,0,1083.4444444444443,1283.0
36005,2018,2018_89437,12.25,0,546.204081632653,736.0
36005,2018,2018_89438,0.75,0,331.6666666666667,528.0
36005,2018,2018_89439,0.25,0,235.0,235.0
36005,2018,2018_89440,0.25,0,382.0,382.0
36005,2018,2018_89441,0.25,0,410.0,410.0
36005,2018,2018_89442,0.75,0,203.33333333333337,204.0
36005,2018,2018_89443,0.5,0,241.0,241.0
36005,2018,2018_89444,4.0,0,262.125,267.0
36005,2018,2018_89445,1.75,0,239.71428571428572,241.0
36005,2018,2018_89446,0.75,0,1115.3333333333333,1131.0
36005,2018,2018_89447,0.5,0,1742.0,1742.0
36005,2018,2018_89448,2.5,0,464.1,536.0
36005,2018,2018_89449,1.25,0,535.2,536.0
36005,2018,2018_89450,0.25,0,323.0,323.0
36005,2018,2018_89451,2.25,0,779.7777777777778,844.0
36005,2018,2018_89452,2.75,0,951.181818181818,1100.0
36005,2018,2018_89453,0.5,0,399.0,399.0
36005,2018,2018_89454,0.25,0,2490.0,2490.0
36005,2018,2018_89455,0.25,0,524.0,524.0
36005,2018,2018_89456,1.0,0,523.75,524.0
36005,2018,2018_89457,0.25,0,524.0,524.0
36005,2018,2018_89458,2.75,0,281.0,304.0
36005,2018,2018_89459,2.0,0,393.875,400.0
36005,2018,2018_New York-0,7.0,1,3790.035714285714,6789.0
36005,2018,2018_New York-1,7.0,1,3790.035714285714,6789.0
36005,2018,2018_New York-11,0.5,0,241.0,241.0
36005,2018,2018_New York-12,2.0,0,393.875,400.0
36005,2018,2018_New York-13,0.75,0,214.0,214.0
36005,2018,2018_New York-2,1.0,1,2176.0,2176.0
36005,2018,2018_New York-4,3.5,1,227.5,230.0
36005,2018,2018_New York-5,7.0,1,3790.035714285714,6789.0
36005,2018,2018_New York-6,6.25,0,366.36,390.0
36005,2018,2018_New York-7,3.5,1,227.5,230.0
36005,2018,2018_New York-8,7.0,1,3790.035714285714,6789.0
36005,2018,2018_New York-9,1.0,0,598.75,988.0
