county_fips,year,month,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean,county_name,year_centered,days_in_month,log_days,log_outage_occurrence,log_outage_duration_mean,log_outage_mean_customers
36081,2018,5,17.0,1.8088235294117647,2.0,0.11764705882352941,640.4466386554623,693.6470588235294,Queens,-0.5,31,3.4339872044851463,2.8903717578961645,1.0327657228705232,6.463725998453172
36081,2018,6,15.0,2.216666666666667,0.0,0.0,597.7517147034253,707.6,Queens,-0.5,30,3.4011973816621555,2.772588722239781,1.168345626682785,6.394847012526327
36081,2018,7,28.0,2.3482142857142856,1.0,0.03571428571428571,471.7559481527245,642.0,Queens,-0.5,31,3.4339872044851463,3.367295829986474,1.2084271546753163,6.158579289485272
36081,2018,8,25.0,3.01,0.0,0.0,439.7813640367252,726.44,Queens,-0.5,31,3.4339872044851463,3.258096538021482,1.3887912413184778,6.088548979351346
36081,2018,9,7.0,2.5,0.0,0.0,453.4523809523809,512.0,Queens,-0.5,30,3.4011973816621555,2.0794415416798357,1.252762968495368,6.119093135746524
36081,2018,10,14.0,1.2142857142857142,0.0,0.0,598.8633771929825,642.0,Queens,-0.5,31,3.4339872044851463,2.70805020110221,0.7949298748698876,6.396701924609138
36081,2018,11,17.0,2.1323529411764706,0.0,0.0,454.2996927411273,623.4117647058823,Queens,-0.5,30,3.4011973816621555,2.8903717578961645,1.1417844605333185,6.120955867491238
36081,2018,12,11.0,1.8409090909090908,0.0,0.0,565.6050636232454,655.0,Queens,-0.5,31,3.4339872044851463,2.4849066497880004,1.0441241033840398,6.339662524213605
36081,2019,1,9.0,1.5555555555555556,0.0,0.0,455.74934640522883,533.5555555555555,Queens,0.5,31,3.4339872044851463,2.302585092994046,0.9382696385929303,6.124134764288792
36081,2019,2,22.0,2.2613636363636362,0.0,0.0,371.9425480885409,449.40909090909093,Queens,0.5,28,3.332204510175204,3.1354942159291497,1.1821454012814145,5.921424381208229
36081,2019,3,10.0,8.575,0.0,0.0,443.2427990708478,559.4,Queens,0.5,31,3.4339872044851463,2.3978952727983707,2.2591555350667094,6.096371257721281
36081,2019,4,19.0,1.6710526315789473,0.0,0.0,441.6635756056809,468.36842105263156,Queens,0.5,30,3.4011973816621555,2.995732273553991,0.9824726387554562,6.092810058525398
36081,2019,5,11.0,1.2272727272727273,0.0,0.0,533.4350649350649,608.9090909090909,Queens,0.5,31,3.4339872044851463,2.4849066497880004,0.8007778447523107,6.2812102355920345
