state,county,tract_fips,county_fips,cvi_overall,cvi_baseline_all,cvi_baseline_health,cvi_baseline_social_econ,cvi_baseline_infra,cvi_baseline_env,cvi_climate_all,cvi_climate_health,cvi_climate_social_econ,cvi_climate_extreme_events,outage_rows_2014,outage_rows_2015,outage_rows_2016,outage_rows_2017,outage_rows_2018,outage_rows_2019,outage_rows_2020,outage_rows_2021,outage_rows_2022,outage_rows_2023,outage_unique_events_2014,outage_unique_events_2015,outage_unique_events_2016,outage_unique_events_2017,outage_unique_events_2018,outage_unique_events_2019,outage_unique_events_2020,outage_unique_events_2021,outage_unique_events_2022,outage_unique_events_2023,outage_rows_2014_2023,outage_unique_events_2014_2023
NY,Bronx,36005009600,36005,0.61647332393583,0.707720676675045,0.67068653235435,0.895155037847974,0.56145007929037,0.703591057207488,0.494810186950209,0.490774381797398,0.451958517936257,0.541697661116973,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005009800,36005,0.538247695094305,0.635026043595127,0.488523175366637,0.724612549182248,0.576033966731021,0.750934483100599,0.409209897093209,0.429902201529279,0.418565680517725,0.379161809232625,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005011000,36005,0.56084824804118,0.596896105090666,0.477080762461901,0.795330040422086,0.429759377435378,0.685414240043299,0.512784438641867,0.49545187467996,0.415629895759053,0.627271545486587,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005011502,36005,0.602765433455857,0.689399357240759,0.678257824333961,0.866061097528375,0.482367355582517,0.730911151518183,0.487253535075987,0.461207804128793,0.457143348007717,0.54340945309145,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005011700,36005,0.612357218344535,0.704507155028361,0.728466847921908,0.85839770545252,0.567698843816874,0.663465222922141,0.489490636099434,0.442292448581173,0.446566509547383,0.579612950169744,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005011800,36005,0.547841529653815,0.543713002131516,0.426488269253323,0.547444602078235,0.572475523623675,0.62844361357083,0.553346233016882,0.55714458679232,0.531720502034024,0.571173610224301,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005011900,36005,0.568331005767071,0.704220678445722,0.687093064427137,0.819984812379641,0.626344210775685,0.683460626200426,0.387144775528869,0.441527891680814,0.420970850927273,0.298935583978521,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005012101,36005,0.573958921043276,0.688669873436722,0.66569215900434,0.797355937049594,0.639812489725614,0.651818907967339,0.421010984518681,0.476905272453608,0.406602067528827,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005012102,36005,0.570757799659302,0.697466908190295,0.710138707770907,0.800811036258214,0.580020731295838,0.698897157436222,0.401812321617977,0.42805017937146,0.397861171908863,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005012300,36005,0.604964459984462,0.694431612142589,0.624027245778973,0.807574711506398,0.628695511225152,0.717428980059832,0.485674923773626,0.462049362189922,0.415539174419043,0.579436234711912,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005012500,36005,0.545140471614347,0.653753301079128,0.661883077832069,0.770318263593357,0.55463242251737,0.628179440373715,0.400323365661305,0.490322513255579,0.411711999749815,0.298935583978521,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005012701,36005,0.551215164790412,0.682905501228889,0.697262452758191,0.762804996237308,0.639495241663363,0.632059314256693,0.375628049539108,0.42522325204642,0.402725312592384,0.298935583978521,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005012901,36005,0.567897948955355,0.70733802350009,0.685554441258934,0.830123643379393,0.657393526976778,0.656280482385255,0.381977849562374,0.435265220034807,0.411732744673795,0.298935583978521,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
