year,month,obs_count,exp_count_days_adjusted,std_resid,resid_p,resid_q,high_month_sig_05,high_month_sig_01
2018,8,32208,56672.161643835614,-102.76505251460513,0.0,0.0,False,False
2018,9,9595,54844.02739726027,-193.21666385592644,0.0,0.0,False,False
2018,10,11566,56672.161643835614,-189.4745929799327,0.0,0.0,False,False
2018,11,15095,54844.02739726027,-169.7312606918368,0.0,0.0,False,False
2018,12,10915,56672.161643835614,-192.20920739922,0.0,0.0,False,False
2019,1,16931,26038.216438356165,-56.439095050600734,0.0,0.0,False,False
2019,2,36372,23518.389041095892,83.81492598984619,0.0,0.0,True,True
2019,3,13959,26038.216438356165,-74.85712558998051,0.0,0.0,False,False
2019,4,22582,25198.27397260274,-16.481541334388268,4.979890226359173e-61,5.432607519664552e-61,False,False
2019,5,11842,26038.216438356165,-87.97656389814571,0.0,0.0,False,False
2019,6,28221,25198.27397260274,19.04203630230581,7.649496532012386e-81,9.179395838414863e-81,True,True
2019,7,74972,26038.216438356165,303.2516554662707,0.0,0.0,True,True
2019,8,17149,26038.216438356165,-55.08810896123842,0.0,0.0,False,False
2019,9,4466,25198.27397260274,-130.60552297410274,0.0,0.0,False,False
2019,10,21859,26038.216438356165,-25.899372810337088,6.76892565300885e-148,9.025234204011801e-148,False,False
2019,11,25069,25198.27397260274,-0.8143773722570092,0.41542879738850935,0.41542879738850935,False,False
2019,12,33157,26038.216438356165,44.116410848449156,0.0,0.0,True,True
2020,1,18995,23216.79781420765,-27.70743168104212,5.681442377979685e-169,5.681442377979685e-169,False,False
2020,2,16770,21718.939890710382,-33.58094143000834,3.1837808849304016e-247,3.820537061916482e-247,False,False
2020,3,12838,23216.79781420765,-68.11549108314631,0.0,0.0,False,False
2020,4,8958,22467.868852459014,-90.13017058198491,0.0,0.0,False,False
2020,5,10380,23216.79781420765,-84.24721270250186,0.0,0.0,False,False
2020,6,17825,22467.868852459014,-30.974583560502033,1.185848118870369e-210,1.2936524933131298e-210,False,False
2020,7,62749,23216.79781420765,259.4477138573153,0.0,0.0,True,True
