tract_fips,1,2,3,4,5,6,7,8,9,10,11,12
36047000700,212,145,166,105,66,152,171,89,117,44,57,73
36047000900,212,145,166,105,66,152,171,89,117,44,57,73
36047001100,212,145,166,105,66,152,171,89,117,44,57,73
36047001300,212,145,166,105,66,152,171,89,117,44,57,73
36047001500,212,145,166,105,66,152,171,89,117,44,57,73
36047001800,212,145,166,105,66,152,171,89,117,44,57,73
36047002000,212,145,166,105,66,152,171,89,117,44,57,73
36047002100,212,145,166,105,66,152,171,89,117,44,57,73
36047002200,212,145,166,105,66,152,171,89,117,44,57,73
36047002300,212,145,166,105,66,152,171,89,117,44,57,73
36047002901,212,145,166,105,66,152,171,89,117,44,57,73
36047003000,212,145,166,105,66,152,171,89,117,44,57,73
36047003100,212,145,166,105,66,152,171,89,117,44,57,73
36047003300,212,145,166,105,66,152,171,89,117,44,57,73
36047003400,212,145,166,105,66,152,171,89,117,44,57,73
36047003500,212,145,166,105,66,152,171,89,117,44,57,73
36047003600,212,145,166,105,66,152,171,89,117,44,57,73
36047003700,212,145,166,105,66,152,171,89,117,44,57,73
36047003800,212,145,166,105,66,152,171,89,117,44,57,73
36047003900,212,145,166,105,66,152,171,89,117,44,57,73
36047004100,212,145,166,105,66,152,171,89,117,44,57,73
36047004300,212,145,166,105,66,152,171,89,117,44,57,73
36047004400,212,145,166,105,66,152,171,89,117,44,57,73
36047004500,212,145,166,105,66,152,171,89,117,44,57,73
36047004600,212,145,166,105,66,152,171,89,117,44,57,73
36047004700,212,145,166,105,66,152,171,89,117,44,57,73
36047004900,212,145,166,105,66,152,171,89,117,44,57,73
36047005000,212,145,166,105,66,152,171,89,117,44,57,73
36047005100,212,145,166,105,66,152,171,89,117,44,57,73
36047005201,212,145,166,105,66,152,171,89,117,44,57,73
36047005202,212,145,166,105,66,152,171,89,117,44,57,73
36047005300,212,145,166,105,66,152,171,89,117,44,57,73
36047005400,212,145,166,105,66,152,171,89,117,44,57,73
